City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,longyearbyen,78.2186,15.6401,19.24,63,20,10.36,SJ,1730327972
85,sitka,57.0531,-135.33,55.29,50,40,11.5,US,1730327841
86,sao joao da barra,-21.6403,-41.0511,73.49,85,77,10.29,BR,1730327975
87,margaret river,-33.95,115.0667,57.52,84,33,8.77,AU,1730327976
88,manaure,11.7751,-72.4445,85.78,71,100,12.03,CO,1730327977
89,berezovo,63.9381,65.0419,24.8,94,26,6.73,RU,1730327978
90,koryazhma,61.3143,47.1691,33.4,96,100,13.69,RU,1730327979
91,ust-nera,64.5667,143.2,-7.83,99,100,4.54,RU,1730327980
92,glendive,47.1053,-104.7125,49.62,46,0,0.0,US,1730327981
93,mo i rana,66.3128,14.1428,35.33,92,75,9.22,NO,1730327983
94,black river,18.0264,-77.8487,82.26,75,96,5.93,JM,1730327984
95,pisco,-13.7,-76.2167,68.05,73,0,20.71,PE,1730327812
96,nelson bay,-32.7167,152.15,76.1,60,0,1.99,AU,1730327986
97,guadalupe y calvo,26.1,-106.9667,59.43,38,4,10.07,MX,1730327987
98,san patricio,28.017,-97.5169,85.95,66,55,16.08,US,1730327989
99,puerto ayora,-0.7393,-90.3518,70.56,94,18,7.0,EC,1730327990
100,selfoss,63.9331,-20.9971,38.05,90,100,5.08,IS,1730327991
101,dara,15.3484,-15.4799,84.29,35,24,6.98,SN,1730327992
102,aldan,58.6031,125.3894,9.72,93,94,2.26,RU,1730327993
103,telimele,10.9167,-13.3333,73.36,85,62,1.03,GN,1730327994
104,malmberget,67.1753,20.6549,21.76,86,100,3.44,SE,1730327995
105,antsiranana,-12.2787,49.2917,75.54,77,34,17.11,MG,1730327996
106,stanley,54.868,-1.6985,51.82,92,75,4.61,GB,1730327997
107,hanam,37.54,127.2056,49.62,68,73,2.57,KR,1730327998
108,port elizabeth,-33.918,25.5701,59.29,95,0,6.91,ZA,1730327842
109,naze,28.3667,129.4833,77.92,87,100,13.09,JP,1730328000
110,kalajoki,64.25,23.95,39.9,55,12,9.64,FI,1730328001
111,antofagasta,-23.65,-70.4,61.88,87,19,8.68,CL,1730328003
112,georgetown,5.4112,100.3354,80.53,88,20,2.3,MY,1730328004
113,bereeda,11.8704,51.0579,76.12,69,3,9.37,SO,1730328005
114,pontevedra,42.431,-8.6444,65.3,82,10,5.66,ES,1730328006
115,lebu,-37.6167,-73.65,55.92,84,72,7.72,CL,1730327803
116,thung song,8.1645,99.6804,73.65,96,86,3.62,TH,1730328008
117,san andres,12.5847,-81.7006,84.22,79,20,3.44,CO,1730328010
118,wailua homesteads,22.0669,-159.378,81.39,77,75,20.71,US,1730328011
119,west island,-12.1568,96.8225,78.78,83,40,9.22,CC,1730327817
120,hithadhoo,-0.6,73.0833,81.43,64,100,3.83,MV,1730328013
121,tir pul,34.5943,61.269,48.88,46,1,7.76,AF,1730328014
122,ambovombe,-25.1667,46.0833,76.1,74,100,4.74,MG,1730328015
123,ad-damazin,11.7891,34.3592,76.03,78,93,3.36,SD,1730328016
124,nabire,-3.3667,135.4833,80.98,84,95,3.24,ID,1730328017
125,bilibino,68.0546,166.4372,7.43,90,100,6.53,RU,1730328018
126,gadzhiyevo,69.2551,33.3362,35.22,73,100,12.95,RU,1730328019
127,nova sintra,14.8667,-24.7167,78.22,77,100,15.08,CV,1730328020
128,lerwick,60.1545,-1.1494,52.84,91,100,33.51,GB,1730328023
129,amos,48.5669,-78.1162,61.54,79,100,11.88,CA,1730328024
130,fale old settlement,-9.3852,-171.2468,83.55,69,37,13.82,TK,1730328025
131,susuman,62.7833,148.1667,3.52,91,100,4.54,RU,1730328026
132,schuyler,42.4167,-76.883,69.66,66,99,5.99,US,1730328027
133,bengkulu,-3.8004,102.2655,76.59,90,96,4.0,ID,1730328028
134,byford,-32.2167,116.0,61.68,71,1,9.22,AU,1730328029
